2025-11-13 21:58:49,723 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.86) - Source: 192.168.10.3,timestamp,alert_type,source_ip,description,severity,ai_confidence,patterns
2025-11-13 21:59:35,909 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.72) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:35,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.72),MEDIUM,0.7231837257971435,
2025-11-13 21:59:36,243 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 3.160.77.43 (confidence: 0.77) - Source: 3.160.77.43,,,,,,,
,,2025-11-13 21:59:36,AI Behavioral Anomaly,3.160.77.43,Unusual traffic pattern from 3.160.77.43 (confidence: 0.77),MEDIUM,0.7723927374097447,
2025-11-13 21:59:37,464 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.92) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:37,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.92),MEDIUM,0.9204097312728836,
2025-11-13 21:59:39,917 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.84) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:39,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.84),MEDIUM,0.843808461341446,
2025-11-13 21:59:40,707 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.89) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:40,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.89),MEDIUM,0.8886653207830467,
2025-11-13 21:59:41,023 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 3.160.77.43 (confidence: 0.80) - Source: 3.160.77.43,,,,,,,
,,2025-11-13 21:59:41,AI Behavioral Anomaly,3.160.77.43,Unusual traffic pattern from 3.160.77.43 (confidence: 0.80),MEDIUM,0.8026575899088938,
2025-11-13 21:59:42,017 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.85) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:42,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.85),MEDIUM,0.8508695196571169,
2025-11-13 21:59:42,055 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.81) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:42,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.81),MEDIUM,0.814392717542267,
2025-11-13 21:59:42,144 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.84) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:42,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.84),MEDIUM,0.8360923212067376,
2025-11-13 21:59:42,191 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.74) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:42,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.74),MEDIUM,0.7364105757195105,
2025-11-13 21:59:42,326 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 3.160.77.43 (confidence: 0.81) - Source: 3.160.77.43,,,,,,,
,,2025-11-13 21:59:42,AI Behavioral Anomaly,3.160.77.43,Unusual traffic pattern from 3.160.77.43 (confidence: 0.81),MEDIUM,0.8053573833615767,
2025-11-13 21:59:42,346 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 3.160.77.43 (confidence: 0.78) - Source: 3.160.77.43,,,,,,,
,,2025-11-13 21:59:42,AI Behavioral Anomaly,3.160.77.43,Unusual traffic pattern from 3.160.77.43 (confidence: 0.78),MEDIUM,0.7771206153539931,
2025-11-13 21:59:42,385 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 163.181.164.239 (confidence: 0.86) - Source: 163.181.164.239,,,,,,,
,,2025-11-13 21:59:42,AI Behavioral Anomaly,163.181.164.239,Unusual traffic pattern from 163.181.164.239 (confidence: 0.86),MEDIUM,0.8562105766684639,
2025-11-13 21:59:51,796 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.89) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:51,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.89),MEDIUM,0.8863244380274162,
2025-11-13 21:59:51,818 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.85) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:51,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.85),MEDIUM,0.8478142955712719,
2025-11-13 21:59:51,834 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.74) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:51,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.74),MEDIUM,0.7420323849288722,
2025-11-13 21:59:52,689 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.78) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:52,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.78),MEDIUM,0.7813552787830176,
2025-11-13 21:59:53,890 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.78) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:53,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.78),MEDIUM,0.7788716334046386,
2025-11-13 21:59:55,486 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.85) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:55,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.85),MEDIUM,0.8514748098179615,
2025-11-13 22:00:01,911 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.99) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:01,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.99),MEDIUM,0.9901858041022894,
2025-11-13 22:00:01,969 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 1.00) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:01,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 1.00),MEDIUM,0.9980981631067556,
2025-11-13 22:00:02,001 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.74) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:01,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.74),MEDIUM,0.744924442332099,
